0 0 200_ 11111 
41965 22.58 91.69 11000 20010530_0
41965 22.58 91.69 11000 20010531_0
41978 22.26 91.81 0 20010530_18
41978 22.26 91.81 10000 20010530_12
41978 22.26 91.81 10000 20010530_6
41978 22.26 91.81 10010 20010530_15
41978 22.26 91.81 10010 20010530_21
41978 22.26 91.81 10010 20010530_3
41978 22.26 91.81 10010 20010530_9
41978 22.26 91.81 11000 20010530_0
41978 22.26 91.81 11000 20010531_0
41984 21.98 90.23 0 20010530_18
41984 21.98 90.23 10000 20010530_6
41984 21.98 90.23 10010 20010530_15
41984 21.98 90.23 10010 20010530_21
41984 21.98 90.23 10010 20010530_3
41984 21.98 90.23 10010 20010530_9
41984 21.98 90.23 11000 20010530_0
41984 21.98 90.23 11000 20010530_12
41984 21.98 90.23 11000 20010531_0
41989 21.81 91.84 11000 20010530_0
41989 21.81 91.84 11000 20010531_0
41992 21.43 91.93 10000 20010530_6
41992 21.43 91.93 10000 20010531_0
41992 21.43 91.93 10010 20010530_15
41992 21.43 91.93 10010 20010530_18
41992 21.43 91.93 10010 20010530_21
41992 21.43 91.93 10010 20010530_3
41992 21.43 91.93 10010 20010530_9
41992 21.43 91.93 11000 20010530_0
41992 21.43 91.93 11000 20010530_12
41998 20.86 92.3 10010 20010530_3
42027 34.08 74.83 0 20010530_0
42027 34.08 74.83 0 20010530_12
42027 34.08 74.83 0 20010530_18
42027 34.08 74.83 0 20010530_21
42027 34.08 74.83 0 20010531_0
42027 34.08 74.83 10 20010530_6
42027 34.08 74.83 100 20010530_9
42027 34.08 74.83 1000 20010530_15
42027 34.08 74.83 10000 20010530_3
42044 33.58 75.08 0 20010530_12
42044 33.58 75.08 10 20010530_6
42044 33.58 75.08 100 20010530_9
42044 33.58 75.08 10000 20010530_3
42045 33.5 75.16 0 20010530_12
42045 33.5 75.16 10 20010530_6
42045 33.5 75.16 100 20010530_9
42045 33.5 75.16 10000 20010530_3
42056 32.66 74.83 0 20010530_0
42056 32.66 74.83 0 20010530_12
42056 32.66 74.83 0 20010530_18
42056 32.66 74.83 0 20010530_21
42056 32.66 74.83 0 20010531_0
42056 32.66 74.83 10 20010530_6
42056 32.66 74.83 100 20010530_9
